"animal_ID","calved"
"ER_E_16_2019",162
"ER_E_17_2019",178
"ER_E_17_2020",154
"ER_E_18_2020",144
"ER_E_19_2019",155
"ER_E_20_2020",140
"ER_E_21_2019",162
"ER_E_23_2020",193
"ER_E_24_2020",178
"ER_E_26_2020",154
"ER_E_27_2020",174
"ER_E_28_2020",174
"ER_E_29_2020",154
"ER_E_30_2020",190
"ER_E_31_2019",156
"ER_E_31_2020",165
"ER_E_32_2020",142
"ER_E_32_2019",135
"ER_E_18_2019",141
"ER_E_23_2019",143
"ER_E_29_2019",144
"ER_E_25_2019",151
"ER_E_15_2019",153
"ER_E_28_2019",154
"ER_E_27_2019",159
"ER_E_24_2019",159
"ER_E_30_2019",161
"ER_E_26_2019",162
"ER_E_20_2019",163
"ER_E_16_2020",160
"ER_E_25_2020",144
"ER_E_19_2020",174
"ER_E_15_2020",148
