label,cort_ng_g,t3_ng_g
ERE15-20190624-01,2521.63,31.76
ERE29-20190626-02,1674.18,19.46
ERE15-20190516-05,2137.75,32.13
ERE15-20190527-02,2164.43,39.75
ERE15-20190529-02,2606.73,44.71
ERE15-20190531-02,1778.38,38.04
ERE15-20190609-04,1080.60,28.58
ERE15-20190624-02,1591.28,17.43
ERE15-20190627-02,2013.78,21.70
ERE15-20190629-01,2120.65,27.38
ERE15-20190708-01,1928.85,15.45
ERE15-20190715-02,2297.08,15.14
ERE15-20190727-01,4026.73,39.45
ERE16-20190515-09,2333.98,23.58
ERE16-20190516-03,369.35,7.13
ERE16-20190521-01,2678.05,54.89
ERE16-20190530-05,1764.70,24.79
ERE16-20190530-06,2534.10,44.45
ERE16-20190606-06,2379.08,43.89
ERE16-20190608-01,4196.85,33.94
ERE16-20190623-01,1717.13,16.54
ERE16-20190627-01,1673.80,22.26
ERE16-20190707-01,1162.55,31.69
ERE16-20190716-03,1735.55,14.98
ERE16-20190727-02,1583.53,18.36
ERE18-20190515-01,3311.75,44.81
ERE18-20190516-02,3595.18,32.79
ERE18-20190603-03,2458.03,27.26
ERE18-20190619-02,2228.43,22.55
ERE18-20190626-03,2168.75,15.64
ERE18-20190630-01,2343.85,15.79
ERE18-20190707-02,2411.00,19.31
ERE18-20190716-01,3556.48,13.51
ERE18-20190722-02,1428.55,17.86
ERE19-20190514-01,118.23,10.65
ERE19-20190514-02,108.18,6.19
ERE19-20190527-05,1235.95,20.74
ERE19-20190527-06,1345.30,24.96
ERE19-20190531-07,1179.10,28.63
ERE19-20190602-01,1980.05,32.54
ERE19-20190611-01,3493.33,44.90
ERE19-20190629-02,2037.93,21.84
ERE19-20190715-01,2070.50,13.55
ERE20-20190601-01,1741.38,34.53
ERE20-20190601-02,5101.93,41.98
ERE20-20190609-02,2009.08,23.71
ERE20-20190621-03,1154.10,26.49
ERE20-20190626-04,1581.25,12.44
ERE20-20190705-03,1726.20,12.24
ERE20-20190723-01,1198.73,11.26
ERE21-20190515-06,3132.33,28.00
ERE21-20190603-01,1831.50,27.59
ERE21-20190614-02,3210.55,26.10
ERE21-20190624-03,1244.90,16.14
ERE21-20190628-01,2006.83,17.68
ERE21-20190704-01,1473.65,21.35
ERE21-20190712-01,2034.98,13.20
ERE21-20190717-01,1139.05,17.89
ERE21-20190722-01,1470.03,13.63
ERE23-20190616-03,1804.73,20.98
ERE23-20190627-05,1794.08,11.60
ERE23-20190630-02,1845.55,19.94
ERE23-20190711-01,994.18,14.24
ERE23-20190717-02,1367.10,12.80
ERE25-20190614-03,1093.95,18.64
ERE25-20190619-03,1898.20,45.18
ERE25-20190706-01,1749.95,18.39
ERE27-20190616-01,1822.05,22.79
ERE27-20190620-01,1284.00,28.28
ERE27-20190620-02,2376.18,31.15
ERE27-20190706-02,1347.05,21.69
ERE27-20190720-01,1297.53,17.46
ERE28-20190516-04,4930.70,46.54
ERE28-5272019-01,3836.78,42.84
ERE28-20190530-04,1250.98,30.64
ERE28-20190531-08,1681.50,26.58
ERE28-20190627-03,2349.48,24.88
ERE28-20190703-02,1937.20,23.00
