"animal_ID","label","identification_type","sample_lmt"
"ER_E_16","ERE16-20190623-01","model",2019-06-22 19:00:00
"ER_E_16","ERE16-20190707-01","model",2019-07-06 10:00:00
"ER_E_16","ERE16-20190716-03","model",2019-07-15 12:30:00
"ER_E_16","ERE16-20200707-02","model",2020-07-07 09:00:00
"ER_E_16","ERE16-20200716-01","model",2020-07-15 06:00:00
"ER_E_16","ERE16-20200722-02","model",2020-07-21 18:00:00
"ER_E_16","ERE16-20200726-04","model",2020-07-25 15:00:00
"ER_E_16","ERE16-20200729-01","model",2020-07-28 15:00:00
"ER_E_16","ERE16-20200729-02","model",2020-07-28 15:00:00
"ER_E_16","ERE16-20200802-02","model",2020-08-02 13:00:00
"ER_E_16","ERE16-20200807-01","model",2020-08-06 15:30:00
"ER_E_16","ERE16-20200807-02","model",2020-08-04 17:00:00
"ER_E_18","ERE18-20190626-03","model",2019-06-25 13:30:00
"ER_E_18","ERE18-20190707-02","model",2019-07-06 12:30:00
"ER_E_18","ERE18-20200707-01","model",2020-07-06 11:30:00
"ER_E_18","ERE18-20200811-03","model",2020-08-10 18:30:00
"ER_E_18","ERE18-20200815-01","model",2020-08-15 12:00:00
"ER_E_19","ERE19-20190715-01","model",2019-07-14 14:30:00
"ER_E_20","ERE20-20190705-03","model",2019-07-04 11:00:00
"ER_E_21","ERE21-20190722-01","model",2019-07-21 13:30:00
"ER_E_23","ERE23-20190627-05","model",2019-06-26 16:30:00
"ER_E_23","ERE23-20190630-02","model",2019-06-30 04:00:00
"ER_E_25","ERE25-20200811-02","model",2020-08-10 17:00:00
"ER_E_25","ERE25-20200816-01","model",2020-08-15 13:30:00
"ER_E_25","ERE25-20200816-02","model",2020-08-15 13:30:00
"ER_E_27","ERE27-20190720-01","model",2019-07-19 18:00:00
"ER_E_28","ERE28-20190530-04","model",2019-05-29 14:30:00
"ER_E_28","ERE28-20190531-08","model",2019-05-30 08:30:00
"ER_E_28","ERE28-20190703-02","model",2019-07-02 14:30:00
"ER_E_28","ERE28-20190715-03","model",2019-07-14 16:00:00
"ER_E_28","ERE28-20200726-01","model",2020-07-25 10:00:00
"ER_E_28","ERE28-20200730-02","model",2020-07-29 18:30:00
"ER_E_29","ERE29-20190628-02","model",2019-06-27 15:30:00
"ER_E_29","ERE29-20200729-03","model",2020-07-28 10:30:00
"ER_E_29","ERE29-20200801-01","model",2020-07-31 15:00:00
"ER_E_29","ERE29-20200801-02","model",2020-07-31 15:00:00
"ER_E_32","ERE32-20190515-07","model",2019-05-15 18:00:00
"ER_E_32","ERE32-20190703-01","model",2019-07-02 11:30:00
"ER_E_32","ERE32-20200613-01","model",2020-06-12 12:30:00
"ER_E_27","ERE27-20200723-02","dna",2020-07-22 14:30:00
"ER_E_27","ERE27-20200720-01","dna",2020-07-19 17:30:00
"ER_E_27","ERE27-20200731-02","dna",2020-07-30 16:00:00
"ER_E_27","ERE27-20200723-04","dna",2020-07-22 13:00:00
"ER_E_32","ERE32-20200629-01","dna",2020-06-28 08:30:00
"ER_E_32","ERE32-20200629-02","dna",2020-06-28 21:00:00
"ER_E_23","ERE23-20200710-01","dna",2020-07-10 06:00:00
"ER_E_23","ERE23-20200802-01","dna",2020-08-02 10:00:00
"ER_E_29","ERE29-20200808-01","dna",2020-08-08 07:00:00
"ER_E_29","ERE29-20200720-02","dna",2020-07-20 09:30:00
"ER_E_29","ERE29-20200804-02","dna",2020-08-03 17:00:00
"ER_E_29","ERE19-20200726-01","dna",2020-07-25 13:00:00
"ER_E_29","ERE29-20200720-03","dna",2020-07-20 08:00:00
"ER_E_29","ERE29-20200723-01","dna",2020-07-22 16:00:00
"ER_E_16","ERE16-20200731-04","dna",2020-07-30 18:00:00
"ER_E_16","ERE16-20200722-01","dna",2020-07-21 19:30:00
"ER_E_15","ERE15-20190624-02","dna",2019-06-23 17:30:00
"ER_E_15","ERE15-20190531-02","dna",2019-05-31 11:00:00
"ER_E_15","ERE15-20190609-04","dna",2019-06-08 12:30:00
"ER_E_15","ERE15-20190529-02","dna",2019-05-28 22:00:00
"ER_E_23","ERE23-20190616-03","dna",2019-06-15 14:00:00
"ER_E_31","ERE15-20190516-05","dna",2019-05-15 11:00:00
"ER_E_25","ERE25-20190706-01","dna",2019-07-05 12:00:00
"ER_E_19","ERE19-20190531-07","dna",2019-05-30 17:00:00
"ER_E_19","ERE19-20190602-01","dna",2019-06-01 10:00:00
"ER_E_19","ERE19-20190629-02","dna",2019-06-28 12:00:00
"ER_E_16","ERE28-5272019-01","dna",2019-05-26 15:30:00
"ER_E_16","ERE16-20190727-02","dna",2019-07-27 07:00:00
"ER_E_16","ERE16-20190530-06","dna",2019-05-29 13:30:00
"ER_E_16","ERE16-20190521-01","dna",2019-05-21 12:30:00
"ER_E_27","ERE27-20190620-01","dna",2019-06-19 16:30:00
"ER_E_27","ERE27-20190620-02","dna",2019-06-19 14:00:00
"ER_E_20","ERE20-20190601-01","dna",2019-05-31 15:30:00
"ER_E_21","ERE19-20190611-01","dna",2019-06-11 12:30:00
"ER_E_21","ERE21-20190614-02","dna",2019-06-13 22:00:00
"ER_E_21","ERE21-20190515-06","dna",2019-05-14 11:30:00
"ER_E_21","ERE21-20190603-01","dna",2019-06-02 15:00:00
