Sample_ID,Elk_ID,Date_MM_DD_YY,Easting,Northing,Pellets?,Hair?,Time_sample,Time_freezer,Temp_C,RH_Percent,Veg_community,Metres_nearest_pt_1,Metres_nearest_pt_2,Metres_nearest_pt_3,Time_nearest_pt_1,Time_nearest_pt_2,Time_nearest_pt_3,Cluster_date_MM_DD_YY,Beds_within_20m,Notes,Confidence,Rainfall(mm)
BED1-MR2-19,E28,03-02-2019,670531,5451168,Yes,No,15:45,18:00,-20,40,Wet aspen forest,76.9,68.5,76.9,8:00:45,10:00:10,12:00:38,02-25-2019,5,Hair in bed and fecal pellets ~1 m from bed area; unlikely to be from tracked animal; point cluster begins 12 hours after capture up to 36 hours following capture,,
BED2-MR2-19,E28,03-02-2019,670584,5451225,Yes,Yes,16:14,18:00,-20,40,Wet aspen forest,1.9,34.5,1.6,8:00:45,10:00:10,12:00:38,02-25-2019,3,Fairly confident from tracked animal; animal's suspected tracks lead to and from bed; point cluster begins 12 hours after capture up to 36 hours following capture,,
BED3-MR3-19,E18,03-03-2019,674411,5452150,Yes,No,9:20,15:00,-15.6,32,Grazed aspen forest,6.2,14.5,69.5,18:00:13,20:00:39,2:00:38,02-24-2019-02-25-2019,7,"Bed snow covered since used, couldn't find hair; point cluster begins 12 hours after capture up to 36 hours following capture",,
BED4-MR3-19,E18,03-03-2019,674421,5452160,Yes,Yes,9:24,15:00,-15.6,32,Grazed aspen forest,36.6,10.5,4.5,14:00:12,18:00:13,20:00:39,02-24-2019,7,Point cluster begins 12 hours after capture up to 36 hours following capture,,
BED5-MR3-19,E18,03-03-2019,674423,5452161,Yes,No,9:27,15:00,-15.6,32,Grazed aspen forest,34.1,12.9,4.6,14:00:12,18:00:13,20:00:39,02-24-2019,7,Point cluster begins 12 hours after capture up to 36 hours following capture,,
BED6-MR3-19,E18,03-03-2019,674461,5452185,Yes,Yes,9:36,15:00,-15.6,32,Grazed aspen forest,11.9,3.2,50.4,14:00:12,22:00:39,6:00:39,02-24-2019-02-25-2019,7,Fairly confident from tracked animal; two points within 5 m of bed site; point cluster begins 12 hours after capture up to 36 hours following capture,,
BED7-MR3-19,E21,03-03-2019,675897,5450775,Yes,Yes,12:30,15:00,-15.6,32,Aspen oak forest,5,5.9,4.9,2:00:08,4:00:39,6:00:16,02-25-2019,0,"Fairly confident from tracked individual; three points within 5 m, two additional points within 15 m",,
ERE19-20190514-1,E19,05-14-2019,674650,5449006,Yes,No,15:10,18:40,27,27,Willow shrub swamp,5.5,25.2,56.6,20:00,19:30,19:00,05-13-2019,10,Low confidence; many bed sites within general area that look like they have been used for several nights with various ages of pellets,Low,0
ERE19-20190514-2,E19,05-14-2019,674629,5449026,Yes,No,15:27,18:40,27,27,Willow shrub swamp,10.5,29.1,25.2,19:30,20:00,19:00,05-13-2019,10,Low confidence; many bed sites within general area that look like they have been used for several nights with various ages of pellets,Low,0
ERE18-20190515-1,E18,05-15-2019,675826,5453227,Yes,Yes,11:30,17:00,21.3,26.9,Wet aspen forest,1,2,3.4,11:00,12:00,11:30,05-14-2019,5,"Very high confidence; points close together, sample fresh. Only single hair on shrub above bed",Very high,0
ERE21-20190515-6,E21,05-15-2019,672496,5452195,Yes,Yes,14:20,17:00,18.8,30.9,Willow shrub swamp,4,11,22,11:30,12:00,12:30,05-14-2019,0,"High confidence, hair found in shrub above bed",High,0
ERE16-20190515-9,E16,05-15-2019,676714,5449952,Yes,No,16:20,17:00,23.4,38.4,Wet aspen forest,9,9,8,17:30,17:00,18:00,05-14-2019,1,"Very high confidence, few beds in area, sample fresh",Very high,0.2
ERE15-20190516-5,E15,05-16-2019,676946,5449478,Yes,Yes,12:00,16:30,24.4,31.5, Oak aspen forest ,1.7,2.4,1.1,9:00,10:30,11:00,05-15-2019,3,"Very high confidence, few beds in area, hair collected from tree above potential bed site.",Very high,20
ERE28-20190516-4,E28,05-16-2019,676968,5449467,Yes,No,11:30,16:00,24,29.12,Oak aspen forest ,11.3,14.9,10.7,9:00,7:30,8:30,05-15-2019,2,"Unsure, smaple still fairly moist, found 8-10 meters from bed site ",Unsure,20
ERE16-20190516-3,E16,05-16-2019,676990,5449450,Yes,No,11:20,16:30,21,36.2,Oak aspen forest ,4,6,8,8:00,8:30,9:00,05-15-2019,2,"High, E23 also has several points in general area, sample is beside bed, not right on top",High,20
ERE18-20190516-2,E18,05-16-2019,676977,5449539,Yes,No,11:00,16:00,18,34.5,Oak aspen forest ,1.6,1.9,8,11:00,11:30,10:00,05-15-2019,5,"High, Pellets beside bed but not directly on top of",High,20
ERE32-20190515-7,E32,05-16-2019,672899,5450398,Yes,Yes,13:32,16:00,24.6,28.6,"Oak aspen forest, open, previously grazed ",0.8,1.1,1.9,18:00,20:00,16:00,05-15-2019,0,"Very high confidence. Potential birthing site. Blood and what could be calf poop (runny, not firm pellets) found. Calf poop sample taken aswell. New born calf found near by at 673017, 5450661",Very high,20
ERE16-20190521-1,E16,05-21-2019,674892,5448723,Yes,No,18:30,19:15,24.8,22.6,Aspen forest,2.6,6.5,6.9,12:30,10:30,11:30,05-21-2019,0,"Unsure, the area is a network of trails with no distinct bed sites.",Unsure,0
