Sample_ID,Time_sample,Time_freezer
ERE25-20200101-02,15:04,16:45
ERE27-20191228-01,15:30,17:00
ERE29-20191231-01,10:52,14:15
ERE19-20191231-02,12:05,14:15
ERE20-20191231-03,12:30,14:15
ERE18-20191231-04,12:49,14:15
ERE28-20200103,11:27,16:50
ERE25-20200104-01,11:20,16:50
ERE15-20200104-02,11:55,16:50
ERE16-20200104-03,12:21,16:50
ERE27-20200105-01,15:55,17:00
ERE32-20200613-01,14:45,18:40
ERE29-20200612-02,16:14,18:40
ERE23-20200618-01,15:38,18:00
ERE28-20200619-01,17:00,19:45
ERE28-20200621-01,16:48,20:00
ERE28-20200621-02,17:28,20:00
ERE19-20200622-01,12:55,17:30
ERE20-20200623-01,13:36,17:30
ERE32-20200629-01,11:50,15:25
ERE32-20200629-02,12:10,15:25
ERE32-20200706-01,12:40,16:30
ERE19-20200707-01,8:36,11:30
ERE16-20200707-02,9:30,11:30
ERE19-20200709-01,8:39,11:30
ERE23-20200710-01,9:15,13:00
ERE16-20200712-01,12:03,15:30
ERE19-20200713-01,9:14,11:38
ERE16-20200716-01,10:15,1:30
ERE28-20200716-01,14:43,19:30
ERE27-20200716-02,17:29,19:30
ERE19-20200717-01,11:06,13:15
ERE27-20200720-01,9:30,12:10
ERE29-20200720-02,20:20,22:25
ERE29-20200720-03,20:36,22:25
ERE16-20200722-01,8:52,12:55
ERE16-20200722-02,9:07,12:55
ERE27-20200723-04,11:11,13:30
ERE29-20200723-01,9:35,13:30
ERE27-20200723-02,10:51,13:30
ERE27-20200723-03,10:51,13:30
ERE28-20200726-01,11:21,16:15
ERE19-20200726-01,11:51,16:15
ERE32-20200726-03,12:26,16:15
ERE16-20200726-04,12:58,16:15
ERE29-20200726-05,13:30,16:15
ERE29-20200726-06,13:30,16:15
ERE23-20200727-01,11:43,13:40
ERE16-20200729-01,9:13,12:40
ERE16-20200729-02,9:13,12:40
ERE29-20200729-03,10:15,12:40
ERE27-20200730-01,8:34,11:00
ERE28-20200730-02,9:22,11:00
ERE27-20200731-01,9:44,13:20
ERE27-20200731-02,9:56,13:20
ERE16-20200731-03,10:54,13:20
ERE16-20200731-04,11:15,13:20
ERE29-20200801-01,14:21,18:00
ERE29-20200801-02,14:21,18:00
ERE23-20200802-01,14:44,18:05
ERE16-20200802-02,15:25,18:05
ERE27-20200803-01,10:40,13:20
ERE23-20200804-01,9:32,12:00
ERE29-20200804-02,10:05,12:00
ERE29-20200806-01,9:35,11:55
ERE29-20200806-02,9:35,11:55
ERE16-20200807-01,9:15,12:15
ERE16-20200807-02,9:15,12:15
ERE29-20200808-01,12:00,18:15
ERE27-20200810-03,15:47,18:30
ERE29-20200810-01,13:29,18:30
ERE27-20200820-02,15:25,18:30
ERE25-20200811-01,9:14,12:30
ERE25-20200811-02,9:50,12:30
ERE18-20200811-03,10:10,12:30
ERE20-20200812-01,9:34,11:30
ERE18-20200815-01,16:05,18:10
ERE25-20200816-01,12:59,17:30
ERE25-20200816-02,12:59,17:30
ERE27-20200816-03,14:43,17:30
