"Date","Nautical.Twilight.Start","Nautical.Twilight.End"
"Jan  1 2020","7:06","17:55"
"Jan  2 2020","7:06","17:56"
"Jan  3 2020","7:06","17:57"
"Jan  4 2020","7:06","17:58"
"Jan  5 2020","7:06","17:59"
"Jan  6 2020","7:06","18:00"
"Jan  7 2020","7:06","18:01"
"Jan  8 2020","7:05","18:02"
"Jan  9 2020","7:05","18:03"
"Jan 10 2020","7:05","18:04"
"Jan 11 2020","7:05","18:05"
"Jan 12 2020","7:04","18:06"
"Jan 13 2020","7:04","18:08"
"Jan 14 2020","7:03","18:09"
"Jan 15 2020","7:03","18:10"
"Jan 16 2020","7:02","18:11"
"Jan 17 2020","7:01","18:13"
"Jan 18 2020","7:01","18:14"
"Jan 19 2020","7:00","18:15"
"Jan 20 2020","6:59","18:17"
"Jan 21 2020","6:59","18:18"
"Jan 22 2020","6:58","18:20"
"Jan 23 2020","6:57","18:21"
"Jan 24 2020","6:56","18:22"
"Jan 25 2020","6:55","18:24"
"Jan 26 2020","6:54","18:25"
"Jan 27 2020","6:53","18:27"
"Jan 28 2020","6:52","18:28"
"Jan 29 2020","6:51","18:30"
"Jan 30 2020","6:50","18:31"
"Jan 31 2020","6:48","18:33"
"Feb  1 2020","6:47","18:34"
"Feb  2 2020","6:46","18:36"
"Feb  3 2020","6:45","18:37"
"Feb  4 2020","6:43","18:39"
"Feb  5 2020","6:42","18:40"
"Feb  6 2020","6:41","18:42"
"Feb  7 2020","6:39","18:43"
"Feb  8 2020","6:38","18:45"
"Feb  9 2020","6:36","18:47"
"Feb 10 2020","6:35","18:48"
"Feb 11 2020","6:33","18:50"
"Feb 12 2020","6:32","18:51"
"Feb 13 2020","6:30","18:53"
"Feb 14 2020","6:28","18:54"
"Feb 15 2020","6:27","18:56"
"Feb 16 2020","6:25","18:58"
"Feb 17 2020","6:23","18:59"
"Feb 18 2020","6:22","19:01"
"Feb 19 2020","6:20","19:02"
"Feb 20 2020","6:18","19:04"
"Feb 21 2020","6:16","19:06"
"Feb 22 2020","6:15","19:07"
"Feb 23 2020","6:13","19:09"
"Feb 24 2020","6:11","19:10"
"Feb 25 2020","6:09","19:12"
"Feb 26 2020","6:07","19:14"
"Feb 27 2020","6:05","19:15"
"Feb 28 2020","6:03","19:17"
"Feb 29 2020","6:01","19:18"
"Mar  1 2020","5:59","19:20"
"Mar  2 2020","5:57","19:22"
"Mar  3 2020","5:55","19:23"
"Mar  4 2020","5:53","19:25"
"Mar  5 2020","5:51","19:27"
"Mar  6 2020","5:49","19:28"
"Mar  7 2020","5:47","19:30"
"Mar  8 2020","5:45","19:31"
"Mar  9 2020","5:42","19:33"
"Mar 10 2020","5:40","19:35"
"Mar 11 2020","5:38","19:36"
"Mar 12 2020","5:36","19:38"
"Mar 13 2020","5:34","19:40"
"Mar 14 2020","5:31","19:41"
"Mar 15 2020","5:29","19:43"
"Mar 16 2020","5:27","19:45"
"Mar 17 2020","5:25","19:46"
"Mar 18 2020","5:22","19:48"
"Mar 19 2020","5:20","19:50"
"Mar 20 2020","5:18","19:52"
"Mar 21 2020","5:16","19:53"
"Mar 22 2020","5:13","19:55"
"Mar 23 2020","5:11","19:57"
"Mar 24 2020","5:09","19:58"
"Mar 25 2020","5:06","20:00"
"Mar 26 2020","5:04","20:02"
"Mar 27 2020","5:02","20:04"
"Mar 28 2020","4:59","20:06"
"Mar 29 2020","4:57","20:07"
"Mar 30 2020","4:55","20:09"
"Mar 31 2020","4:52","20:11"
"Apr  1 2020","4:50","20:13"
"Apr  2 2020","4:47","20:14"
"Apr  3 2020","4:45","20:16"
"Apr  4 2020","4:43","20:18"
"Apr  5 2020","4:40","20:20"
"Apr  6 2020","4:38","20:22"
"Apr  7 2020","4:35","20:24"
"Apr  8 2020","4:33","20:26"
"Apr  9 2020","4:31","20:27"
"Apr 10 2020","4:28","20:29"
"Apr 11 2020","4:26","20:31"
"Apr 12 2020","4:23","20:33"
"Apr 13 2020","4:21","20:35"
"Apr 14 2020","4:18","20:37"
"Apr 15 2020","4:16","20:39"
"Apr 16 2020","4:14","20:41"
"Apr 17 2020","4:11","20:43"
"Apr 18 2020","4:09","20:45"
"Apr 19 2020","4:06","20:47"
"Apr 20 2020","4:04","20:49"
"Apr 21 2020","4:02","20:51"
"Apr 22 2020","3:59","20:53"
"Apr 23 2020","3:57","20:55"
"Apr 24 2020","3:55","20:57"
"Apr 25 2020","3:52","20:59"
"Apr 26 2020","3:50","21:01"
"Apr 27 2020","3:47","21:03"
"Apr 28 2020","3:45","21:05"
"Apr 29 2020","3:43","21:07"
"Apr 30 2020","3:40","21:09"
"May  1 2020","3:38","21:11"
"May  2 2020","3:36","21:13"
"May  3 2020","3:34","21:16"
"May  4 2020","3:31","21:18"
"May  5 2020","3:29","21:20"
"May  6 2020","3:27","21:22"
"May  7 2020","3:24","21:24"
"May  8 2020","3:22","21:26"
"May  9 2020","3:20","21:28"
"May 10 2020","3:18","21:30"
"May 11 2020","3:16","21:32"
"May 12 2020","3:14","21:35"
"May 13 2020","3:12","21:37"
"May 14 2020","3:09","21:39"
"May 15 2020","3:07","21:41"
"May 16 2020","3:05","21:43"
"May 17 2020","3:03","21:45"
"May 18 2020","3:01","21:47"
"May 19 2020","2:59","21:49"
"May 20 2020","2:58","21:51"
"May 21 2020","2:56","21:53"
"May 22 2020","2:54","21:55"
"May 23 2020","2:52","21:57"
"May 24 2020","2:50","21:59"
"May 25 2020","2:49","22:01"
"May 26 2020","2:47","22:02"
"May 27 2020","2:45","22:04"
"May 28 2020","2:44","22:06"
"May 29 2020","2:42","22:08"
"May 30 2020","2:41","22:10"
"May 31 2020","2:39","22:11"
"Jun  1 2020","2:38","22:13"
"Jun  2 2020","2:37","22:14"
"Jun  3 2020","2:36","22:16"
"Jun  4 2020","2:34","22:17"
"Jun  5 2020","2:33","22:19"
"Jun  6 2020","2:32","22:20"
"Jun  7 2020","2:31","22:21"
"Jun  8 2020","2:31","22:23"
"Jun  9 2020","2:30","22:24"
"Jun 10 2020","2:29","22:25"
"Jun 11 2020","2:28","22:26"
"Jun 12 2020","2:28","22:27"
"Jun 13 2020","2:27","22:27"
"Jun 14 2020","2:27","22:28"
"Jun 15 2020","2:27","22:29"
"Jun 16 2020","2:26","22:29"
"Jun 17 2020","2:26","22:30"
"Jun 18 2020","2:26","22:30"
"Jun 19 2020","2:26","22:31"
"Jun 20 2020","2:26","22:31"
"Jun 21 2020","2:27","22:31"
"Jun 22 2020","2:27","22:31"
"Jun 23 2020","2:27","22:31"
"Jun 24 2020","2:28","22:31"
"Jun 25 2020","2:28","22:31"
"Jun 26 2020","2:29","22:31"
"Jun 27 2020","2:30","22:30"
"Jun 28 2020","2:30","22:30"
"Jun 29 2020","2:31","22:29"
"Jun 30 2020","2:32","22:28"
"Jul  1 2020","2:33","22:28"
"Jul  2 2020","2:34","22:27"
"Jul  3 2020","2:36","22:26"
"Jul  4 2020","2:37","22:25"
"Jul  5 2020","2:38","22:24"
"Jul  6 2020","2:40","22:23"
"Jul  7 2020","2:41","22:22"
"Jul  8 2020","2:42","22:21"
"Jul  9 2020","2:44","22:19"
"Jul 10 2020","2:45","22:18"
"Jul 11 2020","2:47","22:17"
"Jul 12 2020","2:49","22:15"
"Jul 13 2020","2:50","22:14"
"Jul 14 2020","2:52","22:12"
"Jul 15 2020","2:54","22:11"
"Jul 16 2020","2:56","22:09"
"Jul 17 2020","2:58","22:07"
"Jul 18 2020","2:59","22:05"
"Jul 19 2020","3:01","22:04"
"Jul 20 2020","3:03","22:02"
"Jul 21 2020","3:05","22:00"
"Jul 22 2020","3:07","21:58"
"Jul 23 2020","3:09","21:56"
"Jul 24 2020","3:11","21:54"
"Jul 25 2020","3:13","21:52"
"Jul 26 2020","3:15","21:50"
"Jul 27 2020","3:17","21:48"
"Jul 28 2020","3:19","21:46"
"Jul 29 2020","3:21","21:44"
"Jul 30 2020","3:23","21:42"
"Jul 31 2020","3:25","21:40"
"Aug  1 2020","3:27","21:37"
"Aug  2 2020","3:29","21:35"
"Aug  3 2020","3:31","21:33"
"Aug  4 2020","3:33","21:31"
"Aug  5 2020","3:36","21:29"
"Aug  6 2020","3:38","21:26"
"Aug  7 2020","3:40","21:24"
"Aug  8 2020","3:42","21:22"
"Aug  9 2020","3:44","21:19"
"Aug 10 2020","3:46","21:17"
"Aug 11 2020","3:48","21:15"
"Aug 12 2020","3:50","21:12"
"Aug 13 2020","3:52","21:10"
"Aug 14 2020","3:54","21:08"
"Aug 15 2020","3:56","21:05"
"Aug 16 2020","3:58","21:03"
"Aug 17 2020","4:00","21:00"
"Aug 18 2020","4:02","20:58"
"Aug 19 2020","4:04","20:56"
"Aug 20 2020","4:05","20:53"
"Aug 21 2020","4:07","20:51"
"Aug 22 2020","4:09","20:48"
"Aug 23 2020","4:11","20:46"
"Aug 24 2020","4:13","20:44"
"Aug 25 2020","4:15","20:41"
"Aug 26 2020","4:17","20:39"
"Aug 27 2020","4:19","20:36"
"Aug 28 2020","4:21","20:34"
"Aug 29 2020","4:22","20:31"
"Aug 30 2020","4:24","20:29"
"Aug 31 2020","4:26","20:27"
"Sep  1 2020","4:28","20:24"
"Sep  2 2020","4:30","20:22"
"Sep  3 2020","4:31","20:19"
"Sep  4 2020","4:33","20:17"
"Sep  5 2020","4:35","20:14"
"Sep  6 2020","4:37","20:12"
"Sep  7 2020","4:38","20:10"
"Sep  8 2020","4:40","20:07"
"Sep  9 2020","4:42","20:05"
"Sep 10 2020","4:44","20:02"
"Sep 11 2020","4:45","20:00"
"Sep 12 2020","4:47","19:58"
"Sep 13 2020","4:49","19:55"
"Sep 14 2020","4:50","19:53"
"Sep 15 2020","4:52","19:50"
"Sep 16 2020","4:54","19:48"
"Sep 17 2020","4:55","19:46"
"Sep 18 2020","4:57","19:43"
"Sep 19 2020","4:59","19:41"
"Sep 20 2020","5:00","19:39"
"Sep 21 2020","5:02","19:36"
"Sep 22 2020","5:04","19:34"
"Sep 23 2020","5:05","19:32"
"Sep 24 2020","5:07","19:29"
"Sep 25 2020","5:08","19:27"
"Sep 26 2020","5:10","19:25"
"Sep 27 2020","5:12","19:23"
"Sep 28 2020","5:13","19:20"
"Sep 29 2020","5:15","19:18"
"Sep 30 2020","5:16","19:16"
"Oct  1 2020","5:18","19:14"
"Oct  2 2020","5:20","19:11"
"Oct  3 2020","5:21","19:09"
"Oct  4 2020","5:23","19:07"
"Oct  5 2020","5:24","19:05"
"Oct  6 2020","5:26","19:03"
"Oct  7 2020","5:27","19:01"
"Oct  8 2020","5:29","18:59"
"Oct  9 2020","5:30","18:57"
"Oct 10 2020","5:32","18:55"
"Oct 11 2020","5:33","18:52"
"Oct 12 2020","5:35","18:50"
"Oct 13 2020","5:37","18:48"
"Oct 14 2020","5:38","18:46"
"Oct 15 2020","5:40","18:45"
"Oct 16 2020","5:41","18:43"
"Oct 17 2020","5:43","18:41"
"Oct 18 2020","5:44","18:39"
"Oct 19 2020","5:46","18:37"
"Oct 20 2020","5:47","18:35"
"Oct 21 2020","5:49","18:33"
"Oct 22 2020","5:50","18:31"
"Oct 23 2020","5:52","18:30"
"Oct 24 2020","5:53","18:28"
"Oct 25 2020","5:55","18:26"
"Oct 26 2020","5:56","18:24"
"Oct 27 2020","5:58","18:23"
"Oct 28 2020","5:59","18:21"
"Oct 29 2020","6:01","18:20"
"Oct 30 2020","6:02","18:18"
"Oct 31 2020","6:04","18:16"
"Nov  1 2020","6:05","18:15"
"Nov  2 2020","6:07","18:13"
"Nov  3 2020","6:08","18:12"
"Nov  4 2020","6:10","18:10"
"Nov  5 2020","6:11","18:09"
"Nov  6 2020","6:13","18:08"
"Nov  7 2020","6:14","18:06"
"Nov  8 2020","6:16","18:05"
"Nov  9 2020","6:17","18:04"
"Nov 10 2020","6:19","18:03"
"Nov 11 2020","6:20","18:01"
"Nov 12 2020","6:22","18:00"
"Nov 13 2020","6:23","17:59"
"Nov 14 2020","6:24","17:58"
"Nov 15 2020","6:26","17:57"
"Nov 16 2020","6:27","17:56"
"Nov 17 2020","6:29","17:55"
"Nov 18 2020","6:30","17:54"
"Nov 19 2020","6:31","17:53"
