"animal_ID","collar_ID","lat","long","time_utc","time_lmt","dat_time"
"ER_E_27",15450,49.02428,-96.47739,"2019-02-26 3:08","2019-02-26 0:38",2019-02-26 03:08:00
"ER_E_27",15450,49.02427,-96.47757,"2019-02-26 4:00","2019-02-26 1:30",2019-02-26 04:00:00
"ER_E_27",15450,49.01925,-96.48059,"2019-02-26 8:00","2019-02-26 5:30",2019-02-26 08:00:00
"ER_E_27",15450,49.0185,-96.48004,"2019-02-26 9:07","2019-02-26 6:37",2019-02-26 09:07:00
"ER_E_27",15450,49.01852,-96.48005,"2019-02-26 12:00","2019-02-26 9:30",2019-02-26 12:00:00
"ER_E_27",15450,49.01966,-96.47907,"2019-02-26 16:00","2019-02-26 13:30",2019-02-26 16:00:00
"ER_E_27",15450,49.01895,-96.47991,"2019-02-26 20:00","2019-02-26 17:30",2019-02-26 20:00:00
"ER_E_27",15450,49.01794,-96.48027,"2019-02-27 0:00","2019-02-26 21:30",2019-02-27
"ER_E_27",15450,49.01295,-96.48215,"2019-02-27 2:31","2019-02-27 0:01",2019-02-27 02:31:00
"ER_E_27",15450,49.00955,-96.48094,"2019-02-27 4:00","2019-02-27 1:30",2019-02-27 04:00:00
"ER_E_27",15450,49.00933,-96.48089,"2019-02-27 4:33","2019-02-27 2:03",2019-02-27 04:33:00
"ER_E_27",15450,49.00963,-96.48051,"2019-02-27 8:00","2019-02-27 5:30",2019-02-27 08:00:00
"ER_E_27",15450,49.00982,-96.48115,"2019-02-27 9:27","2019-02-27 6:57",2019-02-27 09:27:00
"ER_E_27",15450,49.00978,-96.481,"2019-02-27 12:00","2019-02-27 9:30",2019-02-27 12:00:00
"ER_E_27",15450,49.00844,-96.48113,"2019-02-27 15:33","2019-02-27 13:03",2019-02-27 15:33:00
"ER_E_27",15450,49.00841,-96.48117,"2019-02-27 16:00","2019-02-27 13:30",2019-02-27 16:00:00
"ER_E_27",15450,49.00856,-96.48176,"2019-02-27 20:00","2019-02-27 17:30",2019-02-27 20:00:00
